MGLHFDPCRWVFXYODNGSR;0;1
POPMEZENOSJRILLKAXOQ;0;1
YLPTPBUNIYLHHBJMNUNC;0;1
JTKDZUFGRGTMXCNTRKLA;0;1
OEYAJLQWJPMBFJKDLRUV;0;1
YHYMTZIRBXRZMKFHZBUQ;1;1
VSUTPXSKUTJPRREFLJIL;0;1
VUXGQBCDMAXJCJMJJWWN;0;1
ZZLZSNPCQVXENELLDICV;2;1
MVSNGCVSDFWAGQFZNAEN;0;1
KMUDRAJJLNDNTBMRENCV;1;1
GWEDHHHMDWYAWPVROYJN;1;1
LXXHWVJRYNNVMIDDKVKE;3;1
KHYVGUUDJSUTAWHMCNIH;3;1
PCJRETNQXTGNWAYPPGCE;4;1
UKTLROHAEQLJVXARBWXX;3;1
XLAOBSOUOYBFGDJCYMUF;3;1
ILOPUAYWAUSLDUVTYAIG;3;1
OFPOTOBJRZKEFRUDMSJE;3;1
GFNMCPEBYJNBESXWDVAO;4;1
XLIQDXXIPZTATZNJYJMD;4;1
KNGBXKEYFYQFZFJSRCIY;4;1
BQRSVODYQWJLXRYBOFXN;5;1
FLLIOUEXZUPIODLVCSYE;5;1
ZTEDFFDJOARBUCBXGBSO;5;1
NYMZAYVMROPNZBQKIZYI;5;1
VPCOXKKOAOONZGVDLYRA;3;1
CNMLPPXLFSGLQTMAWSHN;5;1
DFWSSNYTCWEALAYGGVAQ;5;1
OFUUQPVXSNGGWEQFRZFF;5;1
ZSLQIYAYRWEPSNJJYCTS;3;1
NCSEFSTQUMMFFMPQACLX;4;1
ZHVLSZRTMKMNVBSXJYTF;5;1
CDKOLPQEQECZORNSJIRO;1;1
GBCXDTITWEQTSNNYJRVS;1;1
YPQIZMNIWDVWZJOKXHQD;1;1
GHOELDHTEJKLGMBYMWNO;1;1
NGVTYAOAXTQCFNRYTYVG;3;1
VRQUHPEPMJRAGRKDHEFS;1;1
NFKIWXAIALGRVRXXWOKF;2;1
AJCVGTSUEDCXDBUNBBNJ;4;1
RUPEJQXHQFLUQGGNJSUO;6;1
PQNJRAPXWUXDPKCFLJUM;6;1
YEZCXXTRZXQSAJTMYOYK;4;1
QYITAXWCKKGRTUJGJSAR;4;1
LHWXJWQYLZKVRYYVWGIQ;4;1
CNOTSASSGREGWJULQXMX;4;1
XNHACUXTCEQOVFQCLVXG;4;1
EQGADNGIKUKUJEWICVPD;4;1
GRZLXIUSXVLXFCQJWBNF;4;1
FYFNOKQJMGIBEVHKWZBB;6;1
JTMSUMGBFNSULJRNRQIO;0;1
QFDTACPYELRVDMYPWWUH;4;1
MUKYUMQLDCPRUBUDVDRY;7;1
UMGFSGZJBBGLIBZIEMBO;5;1
DLDCNIBTTLLXNUBDEJLZ;7;1
NWZQXUIGXALWRLSAWJHZ;7;1
SIASTBDJAYRLKHKTZRCX;7;1
CMNGLUYAYFHLOJCTILAE;7;1
HQUPQHCDLORPJPUMZSMU;7;1
KSEUOAJVVRHDLQINYZMW;7;1
HRSCZFGZHCOBPOMDEJYS;7;1
RBLTTRTSFYEHWPIDXYLN;8;1
BEFVMTSDMBTFGAUPGCVN;7;1
JDRJMVQVIXNEQEDHLDDC;7;1
OFITWMGIUMQJXYYEEPTI;7;1
DNWLYCJNVDTMKSIMEPUV;7;1
TZYBYJBEPKAPWKQTRHDV;9;1
RWULCLYNQYEXONXXYIUG;6;1
AGNQMOSNOOEMJMAZSSKN;6;1
FMOKWIVBSWBPBBQLBRHP;6;1
BCMJQWTXNXNKKJWOJIWZ;6;1
NROZQYSUNZODFGPMNVYM;6;1
SGAOMKCJEAQXGGNRCBAW;6;1
TWHBIXDJIZCCBERNERKL;6;1
BNGPUXHIWKIXVNDDGVUV;6;1
SAUGUGEADVEXXTIOYEPI;6;1
SYLMKRXPIIYZAZVLUKOH;10;1
HDKLTXOBNBNIPWUDIUFN;10;1
UMNAELIHMTCAYQBYOQOL;11;1
OBQHRUOAINWWTNUFDSUC;10;1
TISNMFBBTBLHDIDNIXOL;10;1
AIREUWWMASVKLSYIMKKJ;10;1
ERSIKCCDMLMGDHPIDJGG;10;1
NOXTKEXFXTZJDTXASBAS;10;1
NHNJQFGNUBIFPZKLMOOP;10;1
XIADSQHHTMAYQAAWDJHT;10;1
ZSPTTZNRLQXSJRRLFJBB;10;1
FRDATUFIHCIUKHBDYWTY;10;1
VQFBIXXMOBCFCUDXWZTO;10;1
HPNXWOOOJGPBTJKSNZPM;10;1
HVSNYMYFXJOOUDFQFSSP;10;1
ORJRVGUYEAPHGQDPTDYE;10;1
WAWJEHOQUJWFJZEDDEZV;10;1
PQVALKRUZJAQGPVZOPWX;5;1
KEEKSYRRTIVBSNLBDJTI;10;1
WCMOQYBFNCMOWKULFJJZ;10;1
YVDFYYWJHHGVFCIOCFRD;10;1
QQZMEIMZNRTJHVKCKFEN;3;1
ZTZNRFPDROZFGMRJTZFR;3;1
MOZZFJHJNFJGABXJEGFY;3;1
GAJRHODTZAYIVDARWSWW;2;1
PXAPXFNATKREWDVNKZGL;3;1
GDYLCIDVVEFLYALAWKET;3;1
GILXAQSQTGMIUCCUIVZU;3;1
NRJYACYZUMOQNRPDCVQO;1;1
RPGPVFJNBFVFBJUVZNUU;1;1
PKNCROABKFJXCXLFFRGJ;3;1
HUIUZPVIHFXUVIYJGVNQ;12;1
PDXXEVSMBODNAGIVYNXZ;11;1
NBATVLBFVLPFWNIEBISJ;13;1
CMDGCESKSPKYUHFLPGAS;10;1
ZYRIDVJTLWLMBDGFLDBJ;1;1
MYYJEHMJSTLYYZGITLRL;2;1
TQRXGKBLURYUSHLADPIH;1;1
HAVINVYGFEPECFQRTRKI;14;1
VHJWWHDCJLHDGXVKKYFK;6;1
YCBKFSYRPVJEKDDQMRYC;14;1
DAFYVBLOIFPGPLYARJRJ;2;1
FGCVKDKRXQRAGOVEFCAB;1;1
YXOKWWVGUSCSLUFYASFM;12;1
IODZKZQTVMGCQFHWZRDT;1;1
