TVKRBAQBTLWZWMWSVMTE;2018;B-PSU-100;-21.0;
TVKRBAQBTLWZWMWSVMTE;2018;G-CUS-000;-21.0;
TVKRBAQBTLWZWMWSVMTE;2018;B-PSU-101;-21.0;
GQWZNGDOOPRIEUVJARNF;2018;B-MAT-100;-21.0;
PLLYDNJDDSFKQERPZAEO;2018;B-CPE-100;-21.0;
WEGTXSMJZBOSKTFVSWLT;2018;B-CPE-101;-42.0;
WEGTXSMJZBOSKTFVSWLT;2018;B-MUL-100;-9.0;
WJWJTCFIIUBOISOZOZHL;2018;B-MUL-100;-19.0;
WJWJTCFIIUBOISOZOZHL;2018;B-PSU-100;-21.0;
WJWJTCFIIUBOISOZOZHL;2018;B-CPE-111;-21.0;
WJWJTCFIIUBOISOZOZHL;2018;B-PCP-000;-21.0;
OTHGEAKNVTXHCBYKOKKZ;2018;B-MUL-100;-21.0;
KNCBUECVEIMOBMOFVDYE;2018;B-CPE-101;-42.0;
VXFSXCQDSFWETBTOXJRA;2018;B-ANG-001;-21.0;
EVICOPAWWOWHIMTRPVDD;2018;B-CPE-100;-42.0;
EVICOPAWWOWHIMTRPVDD;2018;B-PSU-100;-21.0;
GUFJVCUAYPXSEWESFLFD;2018;B-MUL-100;-21.0;
CYYBXAVSHVOQCAEQESPA;2018;B-CPE-110;-21.0;
VTGMSLCBARWXACSGUMFT;2018;B-CPE-100;-21.0;
NTVGNWTJSZNQPGLAOUQT;2018;B-MUL-100;-9.0;
NTVGNWTJSZNQPGLAOUQT;2018;B-ANG-001;-21.0;
NTVGNWTJSZNQPGLAOUQT;2018;B-PSU-101;-21.0;
BQSEBVYQOCKBIVPPLUTY;2018;B-MUL-100;-1.0;
VVARBFVQDOWQFTUKCVVG;2018;B-PSU-100;-21.0;
NWOVBHEDVYHAYODWTTDG;2018;B-ANG-001;-21.0;
UBNLQVPYEUEDVNXEKIZJ;2018;B-CPE-130;-21.0;
KZPRUXPSTOOCMXHEELUL;2018;B-CPE-100;-42.0;
KZPRUXPSTOOCMXHEELUL;2018;B-CPE-100;-42.0;
XRFBOAHEOMXCSKOWEJDU;2018;B-CPE-110;-21.0;
CKCNQLJPQPPTPGHNQDBS;2018;B-FRE-100;-21.0;
CKCNQLJPQPPTPGHNQDBS;2018;B-MUL-100;-13.0;
CKCNQLJPQPPTPGHNQDBS;2018;B-ANG-001;-21.0;
HUDJCJGAWPYVIZEBUBYO;2018;B-FRE-100;-21.0;
JOTDHUGQYTRYFUBHQXXL;2018;B-CPE-110;-42.0;
AUXTFRSYGVVJBZTDZSEJ;2018;B-CPE-101;-21.0;
AUXTFRSYGVVJBZTDZSEJ;2018;B-MET-100;-21.0;
AUXTFRSYGVVJBZTDZSEJ;2018;B-MUL-100;-21.0;
AUXTFRSYGVVJBZTDZSEJ;2018;B-CPE-111;-21.0;
AUXTFRSYGVVJBZTDZSEJ;2018;B-MET-100;-21.0;
GYAMYSYHVFNBAKWNVQGU;2018;B-CPE-100;-42.0;
GYAMYSYHVFNBAKWNVQGU;2018;B-CPE-100;-42.0;
RIGABEWYYNNKUCYLSMNV;2018;B-CPE-110;-21.0;
PYAWNKZEBDDLCWZYDAQF;2018;B-CPE-100;-42.0;
KNNVWCIKUKCTYJBIHARY;2018;B-MET-100;-21.0;
OJRCRCWINWBVRJZXEKXM;2018;B-CPE-110;-21.0;
