Source;Target;Code_Activity;timestamp_start;timestamp_end;Start;End;Cluster
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;280473;1525039200;1526767200;30/04/2018;20/05/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;301128;1537135200;1538258400;17/09/2018;30/09/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;236226;1496008800;1496527200;29/05/2017;04/06/2017;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;279470;1526853600;1527976800;21/05/2018;03/06/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;279436;1518390000;1519513200;12/02/2018;25/02/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;301477;1536530400;1536530400;10/09/2018;10/09/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;290939;1529877600;1530396000;25/06/2018;01/07/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;314014;1545001200;1546124400;17/12/2018;30/12/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;301036;1543186800;1545519600;26/11/2018;23/12/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;300294;1538344800;1540072800;01/10/2018;21/10/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;279472;1528063200;1528581600;04/06/2018;10/06/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;286331;1523052000;1523743200;07/04/2018;15/04/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;301488;1536876000;1539900000;14/09/2018;19/10/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;303945;1540159200;1543705200;22/10/2018;02/12/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;236223;1493589600;1496527200;01/05/2017;04/06/2017;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;237023;1486335600;1487458800;06/02/2017;19/02/2017;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;299813;1541372400;1543705200;05/11/2018;02/12/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;279945;1525644000;1527372000;07/05/2018;27/05/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;300475;1538949600;1540677600;08/10/2018;28/10/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;279602;1520809200;1521932400;12/03/2018;25/03/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;301478;1536530400;1536789600;10/09/2018;13/09/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;301467;1536012000;1536444000;04/09/2018;09/09/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;286332;1523052000;1523743200;07/04/2018;15/04/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;279598;1519599600;1520722800;26/02/2018;11/03/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;301032;1541977200;1543100400;12/11/2018;25/11/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;279457;1524434400;1525557600;23/04/2018;06/05/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;301015;1537135200;1538258400;17/09/2018;30/09/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;279466;1526248800;1527372000;14/05/2018;27/05/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;279448;1521586800;1522533600;21/03/2018;01/04/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;301028;1540767600;1541890800;29/10/2018;11/11/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;301481;1536616800;1537048800;11/09/2018;16/09/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;301466;1536012000;1536271200;04/09/2018;07/09/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;312624;1542582000;1544742000;19/11/2018;14/12/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;301019;1538344800;1539468000;01/10/2018;14/10/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;301470;1536098400;1536444000;05/09/2018;09/09/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;280475;1527458400;1529186400;28/05/2018;17/06/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;246400;1492984800;1494194400;24/04/2017;08/05/2017;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;279449;1522015200;1523138400;26/03/2018;08/04/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;299591;1541977200;1547334000;12/11/2018;13/01/2019;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;279462;1525644000;1526767200;07/05/2018;20/05/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;301040;1545606000;1547334000;24/12/2018;13/01/2019;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;280470;1520204400;1521327600;05/03/2018;18/03/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;279453;1523224800;1524348000;09/04/2018;22/04/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;280469;1518994800;1520118000;19/02/2018;04/03/2018;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;237213;1491775200;1496181600;10/04/2017;31/05/2017;1
VPEJBBXVKCUGNMDWDQWD;GOCMJSOIUGHQEBQLUGQT;300047;1540159200;1541286000;22/10/2018;04/11/2018;1
