Source;Target;Code_Activity;timestamp_start;timestamp_end;Start;End;Cluster
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;301406;1536012000;1536271200;04/09/2018;07/09/2018;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;300898;1537135200;1538258400;17/09/2018;30/09/2018;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;299717;1537135200;1538863200;17/09/2018;07/10/2018;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;312584;1542582000;1544742000;19/11/2018;14/12/2018;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;299795;1541372400;1543705200;05/11/2018;02/12/2018;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;301413;1536184800;1536444000;06/09/2018;09/09/2018;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;300276;1541372400;1541890800;05/11/2018;11/11/2018;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;301428;1536876000;1539900000;14/09/2018;19/10/2018;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;301418;1536530400;1536789600;10/09/2018;13/09/2018;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;303920;1541372400;1541890800;05/11/2018;11/11/2018;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;242069;1489964400;1495922400;20/03/2017;28/05/2017;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;300919;1543186800;1545519600;26/11/2018;23/12/2018;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;237181;1491775200;1495317600;10/04/2017;21/05/2017;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;282979;1523224800;1523743200;09/04/2018;15/04/2018;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;301410;1536098400;1536444000;05/09/2018;09/09/2018;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;282977;1526853600;1527372000;21/05/2018;27/05/2018;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;301424;1536703200;1537048800;12/09/2018;16/09/2018;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;278585;1520204400;1523138400;05/03/2018;08/04/2018;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;300902;1538344800;1539468000;01/10/2018;14/10/2018;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;311732;1539554400;1539986400;15/10/2018;20/10/2018;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;301407;1536012000;1536444000;04/09/2018;09/09/2018;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;301421;1536616800;1537048800;11/09/2018;16/09/2018;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;303915;1538517600;1543705200;03/10/2018;02/12/2018;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;236182;1491170400;1493503200;03/04/2017;30/04/2017;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;279682;1524434400;1526162400;23/04/2018;13/05/2018;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;300911;1540767600;1541890800;29/10/2018;11/11/2018;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;301417;1536530400;1536530400;10/09/2018;10/09/2018;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;300915;1541977200;1543100400;12/11/2018;25/11/2018;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;236189;1493589600;1496527200;01/05/2017;04/06/2017;1
MBBVYZDACDRFLUPMMPKU;POFLZATXTYUMOUKONEKC;303918;1540767600;1541286000;29/10/2018;04/11/2018;1
MBBVYZDACDRFLUPMMPKU;OYZQBFBMBLXCMJNVIEHK;303918;1540767600;1541286000;29/10/2018;04/11/2018;1
MBBVYZDACDRFLUPMMPKU;OYZQBFBMBLXCMJNVIEHK;280458;1529877600;1530396000;25/06/2018;01/07/2018;1
MBBVYZDACDRFLUPMMPKU;OYZQBFBMBLXCMJNVIEHK;301406;1536012000;1536271200;04/09/2018;07/09/2018;1
MBBVYZDACDRFLUPMMPKU;OYZQBFBMBLXCMJNVIEHK;301116;1537135200;1538258400;17/09/2018;30/09/2018;1
MBBVYZDACDRFLUPMMPKU;OYZQBFBMBLXCMJNVIEHK;278705;1525644000;1528581600;07/05/2018;10/06/2018;1
MBBVYZDACDRFLUPMMPKU;OYZQBFBMBLXCMJNVIEHK;312584;1542582000;1544742000;19/11/2018;14/12/2018;1
MBBVYZDACDRFLUPMMPKU;OYZQBFBMBLXCMJNVIEHK;301413;1536184800;1536444000;06/09/2018;09/09/2018;1
MBBVYZDACDRFLUPMMPKU;OYZQBFBMBLXCMJNVIEHK;301428;1536876000;1539900000;14/09/2018;19/10/2018;1
MBBVYZDACDRFLUPMMPKU;OYZQBFBMBLXCMJNVIEHK;301418;1536530400;1536789600;10/09/2018;13/09/2018;1
MBBVYZDACDRFLUPMMPKU;OYZQBFBMBLXCMJNVIEHK;303920;1541372400;1541890800;05/11/2018;11/11/2018;1
MBBVYZDACDRFLUPMMPKU;OYZQBFBMBLXCMJNVIEHK;279923;1527458400;1529791200;28/05/2018;24/06/2018;1
MBBVYZDACDRFLUPMMPKU;OYZQBFBMBLXCMJNVIEHK;301410;1536098400;1536444000;05/09/2018;09/09/2018;1
